,anomaly_score
439,0.39420172531089936
440,0.23365857188749178
441,0.223567443018928
442,0.15649603929207567
443,0.1552083666927143
444,0.30874213717079035
445,0.37614115241926815
446,0.2473529577701663
447,0.2010022886343371
448,0.554882796777353
449,0.2052527111401016
450,0.16745764130838364
451,0.1322437453849115
452,0.24873815053476606
453,0.24873599864658688
454,0.2714662965749862
455,0.4779026446717151
456,0.3664952113380409
457,0.1800814897458446
458,0.2026106503912921
459,0.2208077477467562
460,0.16121967344399213
461,0.34990596832362847
462,0.21481511437289133
463,0.32218750969184895
464,0.41121726775086187
465,0.25041047221153573
466,0.22893951325826328
467,0.22879440149323632
468,0.22977725158071233
469,0.21671924427706835
470,0.24972647866069672
471,0.24589829334737853
472,0.2058096173966712
473,0.23675973125288208
474,0.28365448385717984
475,0.2900725178894017
476,0.4213833606711492
477,0.3515506502173421
478,0.28114263207942874
479,0.5980976371688242
480,0.1602304817475988
481,0.3259103483547955
482,0.2013605626345592
483,0.33965903317004914
484,0.18256163385620058
485,0.21392033918774148
486,0.22247399706757634
487,0.26146250973518087
488,0.21388239919680413
490,0.23343456391054365
491,0.3253751410917711
492,0.17699862150037646
493,0.43795768744551344
494,0.3004522916918594
495,0.30097720923183624
496,0.2726279138903568
497,0.36274738280510455
498,0.5695763615977052
499,0.26536175447612803
500,0.3490726631684378
501,0.16338127138697028
502,0.14484294125955702
503,0.19905598011534786
504,0.43975634012780107
505,0.37924436379576454
509,0.1602842571083394
510,0.17984694718352523
511,0.5592347209725373
512,0.21943170306904397
513,0.41579542620492316
514,0.2683767078719385
515,0.19246747276884774
516,0.23456683137194334
517,0.2809264627236967
518,0.17836338954192116
519,0.15097695469702113
520,0.17030384390751052
521,0.4185839295787971
522,0.1515160351333092
523,0.27899524954580157
524,0.16466721846044136
525,0.297826609228639
526,0.29708267946119393
527,0.29488754168263626
528,0.253200201021591
529,0.40220306144713475
530,0.31610634039881924
531,0.22112946975314296
532,0.2382695724155029
534,0.191932609918646
535,0.5844378766218274
536,0.1780299224140805
537,0.46418824151659355
538,0.11296213097803154
539,0.10686408307516976
540,0.10328653455044662
541,0.1100039822849262
542,0.10974151866987819
543,0.28263711402660135
544,0.33224375541695533
545,0.2754775394710499
546,0.1687291576462906
547,0.1485823735672084
548,0.13304194036554012
549,0.14981130598628156
554,0.7547862257381655
555,0.8271435626218779
556,0.7154238897805362
557,0.15849011831952386
558,0.16041993913728353
559,0.1655589092644221
560,0.41831843044579997
561,0.2171155857450558
562,0.47641957171280447
563,0.44999113190583867
564,0.29125330245103687
565,0.2411604958793939
566,0.27180607640119114
567,0.2684510608639632
568,0.2880544887307428
569,0.20621328342334827
570,0.1796709812813817
571,0.2827014495859503
572,0.2808703364988079
573,0.2731442583467836
574,0.2773013524668443
575,0.27543335494693183
576,0.28300938085479654
577,0.19110150513632446
578,0.3737151746047709
579,0.29467434197249653
580,0.2835679938561969
581,0.3030938495543085
582,0.30134006873637215
583,0.19916853781660482
584,0.4061319037783662
586,0.22937737486334736
587,0.25834382565992375
588,0.2750403073367189
589,0.2724840233103113
590,0.5986393144513326
591,0.2918817989954035
592,0.34332150272709655
593,0.3090475710965018
594,0.5992169968868148
602,0.4657131017125878
603,0.4686122236694974
604,0.3972551361867669
605,0.30703015154828095
608,0.42214965841666097
609,0.5887754140062573
611,0.3683232987438013
612,0.23764576221368236
614,0.21499527019693743
615,0.5436501986626994
616,0.4402930593138238
617,0.4379826033418115
618,0.163784277902525
619,0.14587973616506655
620,0.1677588981718015
621,0.19072554033424183
623,0.17378200133193716
627,0.2509116056712855
628,0.25675911268458956
629,0.2497565672255443
630,0.1814825456816091
631,0.25206879708191554
632,0.25330015202268935
633,0.24996952307208958
634,0.23946014603365395
635,0.21716149887371738
636,0.24253009238196133
637,0.27824996579723477
638,0.2969093414886624
639,0.27025820238800113
640,0.2778842579443274
641,0.18024533950335173
642,0.2065688206154439
643,0.2396171938551325
644,0.25068785087868384
